pdf,text,model,sdgs,reasoning
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,"Länderkapitel  |  149 Einschränkungen der Religions- und Weltanschauungsfreiheit durch Auf Sansibar sind laut Schätzungen der US-Regie rung 99 Prozent der Bevölkerung muslimischen Glaubens, davon etwa zwei Drittel sunnitisch. Der Rest besteht aus mehreren schiitischen Gruppen, meist asiatischer Abstammung. Der Islam ist auf Sansibar faktisch Staatsreligion. Der Großmufti wird vom Präsidenten Sansibars ernannt, ist damit eine staatliche Institution. staatliche Akteure Die Religions- und Weltanschauungsfreiheit wird durch staatliche Akteure nicht eingeschränkt. Selbst während der COVID‑19-Pandemie blieben Kirchen, Moscheen und andere religiöse Versammlungsstätten offen. Einschränkungen kann es geben, wenn hinter religiösen Versammlungen politische Motivationen vermutet werden. Ansonsten genießen religiöse Versammlungen einen besonderen Schutz und die Meinungsfreiheit ist gewahrt. Rechtliche Lage Religions- und Weltanschauungsfreiheit Tansania ist Vertragspartei des Internationalen Pakts über bürgerliche und politische Rechte.",llama3.2:3b,"[5.5, 8.8, 10.2, 16.1, 16.1]",
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,"Länderkapitel  |  149 Einschränkungen der Religions- und Weltanschauungsfreiheit durch Auf Sansibar sind laut Schätzungen der US-Regie rung 99 Prozent der Bevölkerung muslimischen Glaubens, davon etwa zwei Drittel sunnitisch. Der Rest besteht aus mehreren schiitischen Gruppen, meist asiatischer Abstammung. Der Islam ist auf Sansibar faktisch Staatsreligion. Der Großmufti wird vom Präsidenten Sansibars ernannt, ist damit eine staatliche Institution. staatliche Akteure Die Religions- und Weltanschauungsfreiheit wird durch staatliche Akteure nicht eingeschränkt. Selbst während der COVID‑19-Pandemie blieben Kirchen, Moscheen und andere religiöse Versammlungsstätten offen. Einschränkungen kann es geben, wenn hinter religiösen Versammlungen politische Motivationen vermutet werden. Ansonsten genießen religiöse Versammlungen einen besonderen Schutz und die Meinungsfreiheit ist gewahrt. Rechtliche Lage Religions- und Weltanschauungsfreiheit Tansania ist Vertragspartei des Internationalen Pakts über bürgerliche und politische Rechte.",olfh/teuken-7b-instruct-commercial-v0.4:7b,"[5.5, 14.6, 8.8]",
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,"Länderkapitel  |  149 Einschränkungen der Religions- und Weltanschauungsfreiheit durch Auf Sansibar sind laut Schätzungen der US-Regie rung 99 Prozent der Bevölkerung muslimischen Glaubens, davon etwa zwei Drittel sunnitisch. Der Rest besteht aus mehreren schiitischen Gruppen, meist asiatischer Abstammung. Der Islam ist auf Sansibar faktisch Staatsreligion. Der Großmufti wird vom Präsidenten Sansibars ernannt, ist damit eine staatliche Institution. staatliche Akteure Die Religions- und Weltanschauungsfreiheit wird durch staatliche Akteure nicht eingeschränkt. Selbst während der COVID‑19-Pandemie blieben Kirchen, Moscheen und andere religiöse Versammlungsstätten offen. Einschränkungen kann es geben, wenn hinter religiösen Versammlungen politische Motivationen vermutet werden. Ansonsten genießen religiöse Versammlungen einen besonderen Schutz und die Meinungsfreiheit ist gewahrt. Rechtliche Lage Religions- und Weltanschauungsfreiheit Tansania ist Vertragspartei des Internationalen Pakts über bürgerliche und politische Rechte.",qwen2.5:7b,[10.2],
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,"Länderkapitel  |  149 Einschränkungen der Religions- und Weltanschauungsfreiheit durch Auf Sansibar sind laut Schätzungen der US-Regie rung 99 Prozent der Bevölkerung muslimischen Glaubens, davon etwa zwei Drittel sunnitisch. Der Rest besteht aus mehreren schiitischen Gruppen, meist asiatischer Abstammung. Der Islam ist auf Sansibar faktisch Staatsreligion. Der Großmufti wird vom Präsidenten Sansibars ernannt, ist damit eine staatliche Institution. staatliche Akteure Die Religions- und Weltanschauungsfreiheit wird durch staatliche Akteure nicht eingeschränkt. Selbst während der COVID‑19-Pandemie blieben Kirchen, Moscheen und andere religiöse Versammlungsstätten offen. Einschränkungen kann es geben, wenn hinter religiösen Versammlungen politische Motivationen vermutet werden. Ansonsten genießen religiöse Versammlungen einen besonderen Schutz und die Meinungsfreiheit ist gewahrt. Rechtliche Lage Religions- und Weltanschauungsfreiheit Tansania ist Vertragspartei des Internationalen Pakts über bürgerliche und politische Rechte.",mistral:7b,[10.2],
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,"Länderkapitel  |  149 Einschränkungen der Religions- und Weltanschauungsfreiheit durch Auf Sansibar sind laut Schätzungen der US-Regie rung 99 Prozent der Bevölkerung muslimischen Glaubens, davon etwa zwei Drittel sunnitisch. Der Rest besteht aus mehreren schiitischen Gruppen, meist asiatischer Abstammung. Der Islam ist auf Sansibar faktisch Staatsreligion. Der Großmufti wird vom Präsidenten Sansibars ernannt, ist damit eine staatliche Institution. staatliche Akteure Die Religions- und Weltanschauungsfreiheit wird durch staatliche Akteure nicht eingeschränkt. Selbst während der COVID‑19-Pandemie blieben Kirchen, Moscheen und andere religiöse Versammlungsstätten offen. Einschränkungen kann es geben, wenn hinter religiösen Versammlungen politische Motivationen vermutet werden. Ansonsten genießen religiöse Versammlungen einen besonderen Schutz und die Meinungsfreiheit ist gewahrt. Rechtliche Lage Religions- und Weltanschauungsfreiheit Tansania ist Vertragspartei des Internationalen Pakts über bürgerliche und politische Rechte.",llama3.1:8b,[10.2],
17-entwicklungspolitischer-bericht.pdf,"Um den Schutz der Menschenrechte entlang der weltweiten Lieferketten zu verbessern und zum Beispiel Kinder- und Zwangsarbeit zu verhindern sowie Umweltzerstörung zu vermeiden, ist eine entwicklungspolitisch wirksame Umsetzung der deutschen und europäischen Gesetze für nachhaltige Lieferketten wichtig – wie des deutschen Lieferkettensorgfaltspflichtengesetzes, der EU-Lieferkettenrichtlinie, der EU-Batterieverordnung und der EU-Verordnung für entwaldungsfreie Produkte. Die Bundesregierung unterstützt hier sowohl Partnerregierungen als auch deutsche Unternehmen bei der Umsetzung verbindlicher Nachhaltigkeitsstandards und ambitionierter Nachhaltigkeitskapitel in EU-Handelsabkommen. Dies erfolgt in einem koordinierten europäischen Rahmen, unter anderem über die Team Europe Initiative on Sustainability in Global Supply Chains. Die Bundesregierung hat ihr Engagement zur Förderung einer sozialen und ökologischen Fiskalpolitik verstärkt, beispielsweise durch programmorientierte Gemeinschaftsfinanzierungen mit der Weltbank und der EU zur Förderung von klimaneutralen und sozialen Wirtschaftsreformen. Gleichzeitig hat das BMZ durch gezielte Kofinanzierungen zusätzliche Anreize für ein stärkeres Engagement von Entwicklungsbanken und der EU in Partnerländern geschaffen. Die erneuerbaren Energien sind das Rückgrat der Energie- und Klimawende. Hier: Windkraftanlage Thematische Schwerpunkte in der 20. Legislaturperiode  |  43",llama3.2:3b,"[10.3, 7.6, 4.7, 16.1]",
17-entwicklungspolitischer-bericht.pdf,"Um den Schutz der Menschenrechte entlang der weltweiten Lieferketten zu verbessern und zum Beispiel Kinder- und Zwangsarbeit zu verhindern sowie Umweltzerstörung zu vermeiden, ist eine entwicklungspolitisch wirksame Umsetzung der deutschen und europäischen Gesetze für nachhaltige Lieferketten wichtig – wie des deutschen Lieferkettensorgfaltspflichtengesetzes, der EU-Lieferkettenrichtlinie, der EU-Batterieverordnung und der EU-Verordnung für entwaldungsfreie Produkte. Die Bundesregierung unterstützt hier sowohl Partnerregierungen als auch deutsche Unternehmen bei der Umsetzung verbindlicher Nachhaltigkeitsstandards und ambitionierter Nachhaltigkeitskapitel in EU-Handelsabkommen. Dies erfolgt in einem koordinierten europäischen Rahmen, unter anderem über die Team Europe Initiative on Sustainability in Global Supply Chains. Die Bundesregierung hat ihr Engagement zur Förderung einer sozialen und ökologischen Fiskalpolitik verstärkt, beispielsweise durch programmorientierte Gemeinschaftsfinanzierungen mit der Weltbank und der EU zur Förderung von klimaneutralen und sozialen Wirtschaftsreformen. Gleichzeitig hat das BMZ durch gezielte Kofinanzierungen zusätzliche Anreize für ein stärkeres Engagement von Entwicklungsbanken und der EU in Partnerländern geschaffen. Die erneuerbaren Energien sind das Rückgrat der Energie- und Klimawende. Hier: Windkraftanlage Thematische Schwerpunkte in der 20. Legislaturperiode  |  43",olfh/teuken-7b-instruct-commercial-v0.4:7b,[],
17-entwicklungspolitischer-bericht.pdf,"Um den Schutz der Menschenrechte entlang der weltweiten Lieferketten zu verbessern und zum Beispiel Kinder- und Zwangsarbeit zu verhindern sowie Umweltzerstörung zu vermeiden, ist eine entwicklungspolitisch wirksame Umsetzung der deutschen und europäischen Gesetze für nachhaltige Lieferketten wichtig – wie des deutschen Lieferkettensorgfaltspflichtengesetzes, der EU-Lieferkettenrichtlinie, der EU-Batterieverordnung und der EU-Verordnung für entwaldungsfreie Produkte. Die Bundesregierung unterstützt hier sowohl Partnerregierungen als auch deutsche Unternehmen bei der Umsetzung verbindlicher Nachhaltigkeitsstandards und ambitionierter Nachhaltigkeitskapitel in EU-Handelsabkommen. Dies erfolgt in einem koordinierten europäischen Rahmen, unter anderem über die Team Europe Initiative on Sustainability in Global Supply Chains. Die Bundesregierung hat ihr Engagement zur Förderung einer sozialen und ökologischen Fiskalpolitik verstärkt, beispielsweise durch programmorientierte Gemeinschaftsfinanzierungen mit der Weltbank und der EU zur Förderung von klimaneutralen und sozialen Wirtschaftsreformen. Gleichzeitig hat das BMZ durch gezielte Kofinanzierungen zusätzliche Anreize für ein stärkeres Engagement von Entwicklungsbanken und der EU in Partnerländern geschaffen. Die erneuerbaren Energien sind das Rückgrat der Energie- und Klimawende. Hier: Windkraftanlage Thematische Schwerpunkte in der 20. Legislaturperiode  |  43",qwen2.5:7b,"[8.4, 16.1, 15.1]",
17-entwicklungspolitischer-bericht.pdf,"Um den Schutz der Menschenrechte entlang der weltweiten Lieferketten zu verbessern und zum Beispiel Kinder- und Zwangsarbeit zu verhindern sowie Umweltzerstörung zu vermeiden, ist eine entwicklungspolitisch wirksame Umsetzung der deutschen und europäischen Gesetze für nachhaltige Lieferketten wichtig – wie des deutschen Lieferkettensorgfaltspflichtengesetzes, der EU-Lieferkettenrichtlinie, der EU-Batterieverordnung und der EU-Verordnung für entwaldungsfreie Produkte. Die Bundesregierung unterstützt hier sowohl Partnerregierungen als auch deutsche Unternehmen bei der Umsetzung verbindlicher Nachhaltigkeitsstandards und ambitionierter Nachhaltigkeitskapitel in EU-Handelsabkommen. Dies erfolgt in einem koordinierten europäischen Rahmen, unter anderem über die Team Europe Initiative on Sustainability in Global Supply Chains. Die Bundesregierung hat ihr Engagement zur Förderung einer sozialen und ökologischen Fiskalpolitik verstärkt, beispielsweise durch programmorientierte Gemeinschaftsfinanzierungen mit der Weltbank und der EU zur Förderung von klimaneutralen und sozialen Wirtschaftsreformen. Gleichzeitig hat das BMZ durch gezielte Kofinanzierungen zusätzliche Anreize für ein stärkeres Engagement von Entwicklungsbanken und der EU in Partnerländern geschaffen. Die erneuerbaren Energien sind das Rückgrat der Energie- und Klimawende. Hier: Windkraftanlage Thematische Schwerpunkte in der 20. Legislaturperiode  |  43",mistral:7b,"[8.4, 12.4, 9.4, 7.3, 15.2]",
17-entwicklungspolitischer-bericht.pdf,"Um den Schutz der Menschenrechte entlang der weltweiten Lieferketten zu verbessern und zum Beispiel Kinder- und Zwangsarbeit zu verhindern sowie Umweltzerstörung zu vermeiden, ist eine entwicklungspolitisch wirksame Umsetzung der deutschen und europäischen Gesetze für nachhaltige Lieferketten wichtig – wie des deutschen Lieferkettensorgfaltspflichtengesetzes, der EU-Lieferkettenrichtlinie, der EU-Batterieverordnung und der EU-Verordnung für entwaldungsfreie Produkte. Die Bundesregierung unterstützt hier sowohl Partnerregierungen als auch deutsche Unternehmen bei der Umsetzung verbindlicher Nachhaltigkeitsstandards und ambitionierter Nachhaltigkeitskapitel in EU-Handelsabkommen. Dies erfolgt in einem koordinierten europäischen Rahmen, unter anderem über die Team Europe Initiative on Sustainability in Global Supply Chains. Die Bundesregierung hat ihr Engagement zur Förderung einer sozialen und ökologischen Fiskalpolitik verstärkt, beispielsweise durch programmorientierte Gemeinschaftsfinanzierungen mit der Weltbank und der EU zur Förderung von klimaneutralen und sozialen Wirtschaftsreformen. Gleichzeitig hat das BMZ durch gezielte Kofinanzierungen zusätzliche Anreize für ein stärkeres Engagement von Entwicklungsbanken und der EU in Partnerländern geschaffen. Die erneuerbaren Energien sind das Rückgrat der Energie- und Klimawende. Hier: Windkraftanlage Thematische Schwerpunkte in der 20. Legislaturperiode  |  43",llama3.1:8b,"[8.4, 9.4, 16.1]",
