pdf,text,model,regions,sdgs,countries,reasoning
dritter-entwicklungspolitischer-aktionsplan-zur-gleichstellung-der-geschlechter.pdf,"Übergang zu einer sozial- und klimaverträglichen Wirtschaftsweise (Just Transition) Der gerechte Übergang zu einer sozial- und klimaverträglichen Wirtschaftsweise (Just Transition) verknüpft ökologische, soziale und demokratische Aspekte und sichert Wahlfreiheit, Selbstbestimmung und das Anrecht auf Teilhabe und Teilnahme. Entscheidend für eine gerechte, sozial-ökologische Transformation und damit für den gerechten Übergang zu einer sozial- und klimaverträglichen Wirtschaftsweise ist die Teilhabe und Stärkung von Frauen und marginalisierten Gruppen als Akteur*innen des Wandels. Überlebendenzentrierter Ansatz",llama3.2:3b,"['Europe', 'Latin America']",[17.7],['Germany'],
dritter-entwicklungspolitischer-aktionsplan-zur-gleichstellung-der-geschlechter.pdf,"Übergang zu einer sozial- und klimaverträglichen Wirtschaftsweise (Just Transition) Der gerechte Übergang zu einer sozial- und klimaverträglichen Wirtschaftsweise (Just Transition) verknüpft ökologische, soziale und demokratische Aspekte und sichert Wahlfreiheit, Selbstbestimmung und das Anrecht auf Teilhabe und Teilnahme. Entscheidend für eine gerechte, sozial-ökologische Transformation und damit für den gerechten Übergang zu einer sozial- und klimaverträglichen Wirtschaftsweise ist die Teilhabe und Stärkung von Frauen und marginalisierten Gruppen als Akteur*innen des Wandels. Überlebendenzentrierter Ansatz",olfh/teuken-7b-instruct-commercial-v0.4:7b,[],"[10.2, 10.3]",[],
dritter-entwicklungspolitischer-aktionsplan-zur-gleichstellung-der-geschlechter.pdf,"Übergang zu einer sozial- und klimaverträglichen Wirtschaftsweise (Just Transition) Der gerechte Übergang zu einer sozial- und klimaverträglichen Wirtschaftsweise (Just Transition) verknüpft ökologische, soziale und demokratische Aspekte und sichert Wahlfreiheit, Selbstbestimmung und das Anrecht auf Teilhabe und Teilnahme. Entscheidend für eine gerechte, sozial-ökologische Transformation und damit für den gerechten Übergang zu einer sozial- und klimaverträglichen Wirtschaftsweise ist die Teilhabe und Stärkung von Frauen und marginalisierten Gruppen als Akteur*innen des Wandels. Überlebendenzentrierter Ansatz",qwen2.5:7b,[],"[10.4, 10.7]",[],
dritter-entwicklungspolitischer-aktionsplan-zur-gleichstellung-der-geschlechter.pdf,"Übergang zu einer sozial- und klimaverträglichen Wirtschaftsweise (Just Transition) Der gerechte Übergang zu einer sozial- und klimaverträglichen Wirtschaftsweise (Just Transition) verknüpft ökologische, soziale und demokratische Aspekte und sichert Wahlfreiheit, Selbstbestimmung und das Anrecht auf Teilhabe und Teilnahme. Entscheidend für eine gerechte, sozial-ökologische Transformation und damit für den gerechten Übergang zu einer sozial- und klimaverträglichen Wirtschaftsweise ist die Teilhabe und Stärkung von Frauen und marginalisierten Gruppen als Akteur*innen des Wandels. Überlebendenzentrierter Ansatz",mistral:7b,"['Africa', 'Asia', 'Latin America', 'Europe']","[10.4, 8.8, 5.12, 17.13]",[],
dritter-entwicklungspolitischer-aktionsplan-zur-gleichstellung-der-geschlechter.pdf,"Übergang zu einer sozial- und klimaverträglichen Wirtschaftsweise (Just Transition) Der gerechte Übergang zu einer sozial- und klimaverträglichen Wirtschaftsweise (Just Transition) verknüpft ökologische, soziale und demokratische Aspekte und sichert Wahlfreiheit, Selbstbestimmung und das Anrecht auf Teilhabe und Teilnahme. Entscheidend für eine gerechte, sozial-ökologische Transformation und damit für den gerechten Übergang zu einer sozial- und klimaverträglichen Wirtschaftsweise ist die Teilhabe und Stärkung von Frauen und marginalisierten Gruppen als Akteur*innen des Wandels. Überlebendenzentrierter Ansatz",llama3.1:8b,['Europe'],[],[],
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,"Einschränkungen der Religions- und Weltanschauungsfreiheit durch Gesellschaftliche Konflikte mit religiöser Komponente staatliche Akteure Atheismus ist gesellschaftlich und religiös geächtet, Die muslimische Bevölkerung hat ihre Wurzeln bei Bevölkerungsgruppen, die teils seit dem 16. Jahrhundert aus Sudan, seit den 1920er Jahren aus Nigeria und Niger, sowie aus Tschad eingewandert sind. Die Zugehörigkeit von Musliminnen und Muslimen zur zentralafrikanischen Bevölkerung wird teils durch Medien, aber auch vereinzelt durch Vertreter amtlicher Stellen und Regierung sowie in den Medien werden Musliminnen und Muslime teils negativ dargestellt; Vorurteile sind weit verbreitet. Die seit 2014 im Land befindliche VN-Mission MINUSCA richtete eine Beobachtungsstelle zu Hassrede ein. 2018 wurde eine Kirche in Bangui niedergebrannt, dabei starben 16 Menschen. 2018 verabschiedete die Regierung der Zentralafrikanischen Republik den Nationalen Plan zur Prävention der Volksverhetzung. Er beinhaltet Präventionsarbeit auf Ebene von Kirchen und Schulen, kulturelle Aktivitäten und Reformen im Bereich Cybersicherheit und Journalismus.",llama3.2:3b,['Africa'],[16.1],"['Sudan', 'Nigeria', 'C Chad']",
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,"Einschränkungen der Religions- und Weltanschauungsfreiheit durch Gesellschaftliche Konflikte mit religiöser Komponente staatliche Akteure Atheismus ist gesellschaftlich und religiös geächtet, Die muslimische Bevölkerung hat ihre Wurzeln bei Bevölkerungsgruppen, die teils seit dem 16. Jahrhundert aus Sudan, seit den 1920er Jahren aus Nigeria und Niger, sowie aus Tschad eingewandert sind. Die Zugehörigkeit von Musliminnen und Muslimen zur zentralafrikanischen Bevölkerung wird teils durch Medien, aber auch vereinzelt durch Vertreter amtlicher Stellen und Regierung sowie in den Medien werden Musliminnen und Muslime teils negativ dargestellt; Vorurteile sind weit verbreitet. Die seit 2014 im Land befindliche VN-Mission MINUSCA richtete eine Beobachtungsstelle zu Hassrede ein. 2018 wurde eine Kirche in Bangui niedergebrannt, dabei starben 16 Menschen. 2018 verabschiedete die Regierung der Zentralafrikanischen Republik den Nationalen Plan zur Prävention der Volksverhetzung. Er beinhaltet Präventionsarbeit auf Ebene von Kirchen und Schulen, kulturelle Aktivitäten und Reformen im Bereich Cybersicherheit und Journalismus.",olfh/teuken-7b-instruct-commercial-v0.4:7b,['Africa'],"[16.2, 16.3]",['Central African Republic'],
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,"Einschränkungen der Religions- und Weltanschauungsfreiheit durch Gesellschaftliche Konflikte mit religiöser Komponente staatliche Akteure Atheismus ist gesellschaftlich und religiös geächtet, Die muslimische Bevölkerung hat ihre Wurzeln bei Bevölkerungsgruppen, die teils seit dem 16. Jahrhundert aus Sudan, seit den 1920er Jahren aus Nigeria und Niger, sowie aus Tschad eingewandert sind. Die Zugehörigkeit von Musliminnen und Muslimen zur zentralafrikanischen Bevölkerung wird teils durch Medien, aber auch vereinzelt durch Vertreter amtlicher Stellen und Regierung sowie in den Medien werden Musliminnen und Muslime teils negativ dargestellt; Vorurteile sind weit verbreitet. Die seit 2014 im Land befindliche VN-Mission MINUSCA richtete eine Beobachtungsstelle zu Hassrede ein. 2018 wurde eine Kirche in Bangui niedergebrannt, dabei starben 16 Menschen. 2018 verabschiedete die Regierung der Zentralafrikanischen Republik den Nationalen Plan zur Prävention der Volksverhetzung. Er beinhaltet Präventionsarbeit auf Ebene von Kirchen und Schulen, kulturelle Aktivitäten und Reformen im Bereich Cybersicherheit und Journalismus.",qwen2.5:7b,['Africa'],[10.2],['Central African Republic'],
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,"Einschränkungen der Religions- und Weltanschauungsfreiheit durch Gesellschaftliche Konflikte mit religiöser Komponente staatliche Akteure Atheismus ist gesellschaftlich und religiös geächtet, Die muslimische Bevölkerung hat ihre Wurzeln bei Bevölkerungsgruppen, die teils seit dem 16. Jahrhundert aus Sudan, seit den 1920er Jahren aus Nigeria und Niger, sowie aus Tschad eingewandert sind. Die Zugehörigkeit von Musliminnen und Muslimen zur zentralafrikanischen Bevölkerung wird teils durch Medien, aber auch vereinzelt durch Vertreter amtlicher Stellen und Regierung sowie in den Medien werden Musliminnen und Muslime teils negativ dargestellt; Vorurteile sind weit verbreitet. Die seit 2014 im Land befindliche VN-Mission MINUSCA richtete eine Beobachtungsstelle zu Hassrede ein. 2018 wurde eine Kirche in Bangui niedergebrannt, dabei starben 16 Menschen. 2018 verabschiedete die Regierung der Zentralafrikanischen Republik den Nationalen Plan zur Prävention der Volksverhetzung. Er beinhaltet Präventionsarbeit auf Ebene von Kirchen und Schulen, kulturelle Aktivitäten und Reformen im Bereich Cybersicherheit und Journalismus.",mistral:7b,['Africa'],"[10.2, 16.1]",['Central African Republic'],
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,"Einschränkungen der Religions- und Weltanschauungsfreiheit durch Gesellschaftliche Konflikte mit religiöser Komponente staatliche Akteure Atheismus ist gesellschaftlich und religiös geächtet, Die muslimische Bevölkerung hat ihre Wurzeln bei Bevölkerungsgruppen, die teils seit dem 16. Jahrhundert aus Sudan, seit den 1920er Jahren aus Nigeria und Niger, sowie aus Tschad eingewandert sind. Die Zugehörigkeit von Musliminnen und Muslimen zur zentralafrikanischen Bevölkerung wird teils durch Medien, aber auch vereinzelt durch Vertreter amtlicher Stellen und Regierung sowie in den Medien werden Musliminnen und Muslime teils negativ dargestellt; Vorurteile sind weit verbreitet. Die seit 2014 im Land befindliche VN-Mission MINUSCA richtete eine Beobachtungsstelle zu Hassrede ein. 2018 wurde eine Kirche in Bangui niedergebrannt, dabei starben 16 Menschen. 2018 verabschiedete die Regierung der Zentralafrikanischen Republik den Nationalen Plan zur Prävention der Volksverhetzung. Er beinhaltet Präventionsarbeit auf Ebene von Kirchen und Schulen, kulturelle Aktivitäten und Reformen im Bereich Cybersicherheit und Journalismus.",llama3.1:8b,['Africa'],"[10.2, 16.1]","['Central African Republic', 'Bangladesh']",
